msgDate,msg,replyDate,text,telegramChannel,FinalLabel,y_pred,prob_scores
1618057137,"Mueller prosecutor pulls dirty anti-Trump move...

 ",1618064649,The traitors and illegally installed beaurocrats have to be held accountable and removed from their position of power.,AnalyzingAmerica.json,0,1,"[0.026301194, 0.9726975560000001, 0.0010011829]"
1680093739,"🔴 Katie Hobbs’ Spokeswoman Blasted for Horrific Tweet Following Nashville School Shooting

  ",1680094734,"Because they’re pieces of shit that need to be dealt with. Until the punishment begins, they will just keep rubbing our faces in it.",ResisttheMainstream.json,2,2,"[0.0042786035, 0.0076920362, 0.9880294204000001]"
1635875417,"A Sea Change on Public Approval of Vaccine Mandates Is Occurring 

 FULL STORY —>    ",1635882803,"DJT, it's time! Pull the trigger! The country need you in office!",TheTrumpRepublicans.json,0,2,"[0.007987258, 0.0021994726000000003, 0.9898132682]"
1657835134,"​ Sen. Hawley Wants Investigation Into Biden DOE After China Got Oil From US Reserve 

DETAILS HERE:   ",1657865669,This should be cause for impeachment and removal for selling us out for his wallet!!,TrumpSupportersChannel.json,1,1,"[0.0817067325, 0.9177725315, 0.0005207694000000001]"
1627522986,"Yes!
 ",1627566629,It is the only thing that brings me joy right now is the antcipation of seeing so many democrats go to jail or the needle.,AnalyzingAmerica.json,2,2,"[0.0306108892, 0.1417210102, 0.82766819]"
1668183641,"🔴  Texas Gov. Abbott Says 300th Bus of Immigrants Has Been Sent to Democrat-Run State
 
  ",1668183961,The military should have acted a long time ago against this invasion that is destroying the country.,ResisttheMainstream.json,2,2,"[0.0024194622, 0.0044102920000000006, 0.9931702614000001]"
1687471139,"Going live with ⁦  @realannapaulina ⁩ now. Tune in and hear all about her motion that led to SHIFTY SCHIFF GETTING CENSURED, Hunter’s Sweetheart Deal, Plus Latest on Missing Submarine - TRIGGERED Ep.44   ",1687633459,"Next:

Scream really loud, threaten people, and engage in violence if the truth isn't what you want it to be.",DonaldTrumpJr.json,2,0,"[0.8120324612, 0.0223211572, 0.1656463891]"
1687065618,"🔴  Sen. Kennedy Sends Clear Message to DOJ and FBI as Biden Bribery Allegations Swirl
 
 Worth seeing again.
 
  ",1687097381,"While he’s hiring IRS thugs to investigate middle class Americans, maybe a couple of his IRS police can investigate his income and tax status.",ResisttheMainstream.json,1,0,"[0.8174951673, 0.1814869791, 0.0010179208000000001]"
1684975297,"🔴 One Republican Votes With Democrats Blocking Bill That Would Have Banned Transgender Surgeries on Children

  ",1685065063,What you should be doing now is going after those doctors who are performing these hideous procedures. Publish their names and let them explain their oath to do no harm. Medical licenses should be taken away and they should be prosecuted.,ResisttheMainstream.json,1,1,"[0.0116727762, 0.9876416922000001, 0.0006855363]"
1679251215,"🔴  WHO Issues Warning About Latest Deadly Health Concern
 
 In case you missed it. 
 
  ",1679256621,They are the pandemic! And need to be destroyed,ResisttheMainstream.json,2,2,"[0.011712173900000001, 0.0021592644000000003, 0.9861285686000001]"
